"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0016",15557,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0029",5342,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0028",5085,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0018",4724,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0030",1629,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0006",1509,"teria","rucomicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0011",412,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0027",110,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0013",106,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0012",43,"teria","simicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0014",43,"teria","rucomicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0008",42,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0001",39,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0007",36,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975_phylum","S00PP-0010",36,"teria","simicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0001",34,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0013",33,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0011",24,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0024",22,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0017",21,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0009",20,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4_phylum","S00PP-0025",17,"teria","rucomicrobiota",NA,NA,NA,NA
